
Epoch:   1/500, MSE_val: 723.0333, MAE_val: 12.8151, MAPE_val: inf
Epoch:   2/500, MSE_val: 432.1665, MAE_val: 9.4679, MAPE_val: inf
Epoch:   3/500, MSE_val: 235.9432, MAE_val: 7.0164, MAPE_val: inf
Epoch:   4/500, MSE_val: 130.3874, MAE_val: 5.8026, MAPE_val: inf
Epoch:   5/500, MSE_val: 79.7536, MAE_val: 4.7674, MAPE_val: inf
Epoch:   6/500, MSE_val: 52.0389, MAE_val: 4.0634, MAPE_val: inf
Epoch:   7/500, MSE_val: 49.9931, MAE_val: 4.1430, MAPE_val: inf
Epoch:   8/500, MSE_val: 43.4060, MAE_val: 3.9439, MAPE_val: inf
Epoch:   9/500, MSE_val: 35.3853, MAE_val: 3.5077, MAPE_val: inf
Epoch:  10/500, MSE_val: 33.7590, MAE_val: 3.4581, MAPE_val: inf
Epoch:  11/500, MSE_val: 32.3864, MAE_val: 3.4520, MAPE_val: inf
Epoch:  12/500, MSE_val: 34.1428, MAE_val: 3.6544, MAPE_val: inf
Epoch:  13/500, MSE_val: 30.2315, MAE_val: 3.3556, MAPE_val: inf
Epoch:  14/500, MSE_val: 30.2303, MAE_val: 3.4344, MAPE_val: inf
Epoch:  15/500, MSE_val: 27.1237, MAE_val: 3.2946, MAPE_val: inf
Epoch:  16/500, MSE_val: 24.2057, MAE_val: 3.0592, MAPE_val: inf
Epoch:  17/500, MSE_val: 23.0574, MAE_val: 2.9586, MAPE_val: inf
Epoch:  18/500, MSE_val: 22.8492, MAE_val: 2.9452, MAPE_val: inf
Epoch:  19/500, MSE_val: 23.0256, MAE_val: 2.9579, MAPE_val: inf
Epoch:  20/500, MSE_val: 21.9683, MAE_val: 2.8981, MAPE_val: inf
Epoch:  21/500, MSE_val: 22.9458, MAE_val: 2.9857, MAPE_val: inf
Epoch:  22/500, MSE_val: 22.2555, MAE_val: 2.9153, MAPE_val: inf
Epoch:  23/500, MSE_val: 23.2084, MAE_val: 3.1046, MAPE_val: inf
Epoch:  24/500, MSE_val: 23.9730, MAE_val: 3.0612, MAPE_val: inf
Epoch:  25/500, MSE_val: 18.5783, MAE_val: 2.7058, MAPE_val: inf
